model,N,num_seeds,selected_energy,selected_energy_ci_low,selected_energy_ci_high,selected_score,selected_score_ci_low,selected_score_ci_high,selected_real_utility,selected_real_utility_ci_low,selected_real_utility_ci_high,success_rate,success_rate_ci_low,success_rate_ci_high,exact_law_abs_error,exact_law_abs_error_ci_low,exact_law_abs_error_ci_high,low_energy_tail_real_utility,low_energy_tail_real_utility_ci_low,low_energy_tail_real_utility_ci_high,low_energy_tail_invalid_rate,low_energy_tail_invalid_rate_ci_low,low_energy_tail_invalid_rate_ci_high,tail_rank_correlation,tail_rank_correlation_ci_low,tail_rank_correlation_ci_high,energy_utility_rank_correlation,energy_utility_rank_correlation_ci_low,energy_utility_rank_correlation_ci_high,invalid_action_rate,invalid_action_rate_ci_low,invalid_action_rate_ci_high,jerk_smoothness_penalty,jerk_smoothness_penalty_ci_low,jerk_smoothness_penalty_ci_high,contact_feasibility_penalty,contact_feasibility_penalty_ci_low,contact_feasibility_penalty_ci_high,oracle_minus_energy_gap,oracle_minus_energy_gap_ci_low,oracle_minus_energy_gap_ci_high,high_n_regret,high_n_regret_ci_low,high_n_regret_ci_high,marginal_utility_per_added_candidate,marginal_utility_per_added_candidate_ci_low,marginal_utility_per_added_candidate_ci_high,compute_latency_proxy,compute_latency_proxy_ci_low,compute_latency_proxy_ci_high,energy_evaluations,energy_evaluations_ci_low,energy_evaluations_ci_high,deployment_gate
calibrated,1,3,-0.6731496170340399,-0.7061844119500643,-0.6401148221180154,0.6731496170340399,0.6401148221180154,0.7061844119500643,0.6609581456202617,0.6347980499759263,0.6871182412645971,0.58984375,0.5768501929574688,0.6028373070425312,0.04586908838749674,0.023479069815573555,0.06825910695941992,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,0.9706539721110993,0.9692636250914736,0.972044319130725,0.9706539721110993,0.9692636250914736,0.972044319130725,0.26513671875,0.25309433960519967,0.27717909789480033,0.23530849925665906,0.21668044424771438,0.25393655426560374,0.2647201952208403,0.25306016049739044,0.2763802299442901,4.070817756958907e-16,-3.412879458244098e-17,8.482923459742224e-16,4.070817756958907e-16,-3.412879458244098e-17,8.482923459742224e-16,-1.0362081563168128e-15,-1.6027212655099782e-15,-4.696950471236475e-16,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,2,3,-1.3233736701999386,-1.3475050332537166,-1.2992423071461605,1.3233736701999386,1.2992423071461605,1.3475050332537166,1.3289616857929085,1.313177600000071,1.344745771585746,0.8284206390380859,0.8180183909768614,0.8388228870993105,0.049051689508968176,0.015010671066534004,0.08309270795140235,1.6444494886607455,1.641073781809802,1.647825195511689,0.0,0.0,0.0,0.8539369352454522,0.8454034013134122,0.8624704691774923,0.9706539721110993,0.9692636250914736,0.972044319130725,0.07296140988667806,0.06706167524251905,0.07886114453083706,0.2210460890986922,0.20815129080833256,0.23394088738905183,0.06612374980543817,0.061088336227870674,0.07115916338300567,0.010993780965859271,0.010140590530917043,0.0118469714008015,0.010993780965859271,0.010140590530917043,0.0118469714008015,0.6680035401726468,0.656790002407098,0.6792170779381957,2.0,2.0,2.0,2.0,2.0,2.0,stop_early
calibrated,4,3,-1.648906135439787,-1.663928469031381,-1.633883801848193,1.648906135439787,1.633883801848193,1.663928469031381,1.6988803978380533,1.6968802396936946,1.700880555982412,0.9682080238519575,0.9646260053258154,0.9717900423780995,0.01958517303172595,0.00294089945532576,0.03622944660812614,1.8384256398565608,1.8292862799041494,1.8475649998089723,0.0,0.0,0.0,0.6878066372647753,0.6440955572936479,0.7315177172359028,0.9706539721110993,0.9692636250914736,0.972044319130725,0.006207156459955361,0.005410931006034604,0.007003381913876118,0.17765735678572123,0.17432892825008284,0.18098578532135962,0.006581017768355388,0.005990116900071625,0.0071719186366391505,0.023369942697076596,0.021379114594539214,0.025360770799613977,0.023369942697076596,0.021379114594539214,0.025360770799613977,0.18495935602257238,0.17800529308890958,0.19191341895623518,4.0,4.0,4.0,4.0,4.0,4.0,stop_early
calibrated,8,3,-1.7712729204607986,-1.7871496333494028,-1.7553962075721945,1.7712729204607986,1.7553962075721945,1.7871496333494028,1.8560476025276753,1.8528563144485442,1.8592388906068065,0.9986450138777423,0.9983399682242106,0.998950059531274,0.006532321974549005,-0.001568604152659244,0.014633248101757253,1.9274316076151503,1.9246935529468185,1.930169662283482,0.0,0.0,0.0,0.4629715991454948,0.4015888935361958,0.5243543047547937,0.9706539721110993,0.9692636250914736,0.972044319130725,7.16377398874936e-05,5.8719095577765115e-05,8.45563841972221e-05,0.1599085598338964,0.15574779098286853,0.16406932868492427,0.0008638094398251238,0.0008452212661661649,0.0008823976134840827,0.032696576427669356,0.029157752704635394,0.03623540015070332,0.032696576427669356,0.029157752704635394,0.03623540015070332,0.03929180117240547,0.03799551222829914,0.04058809011651181,8.0,8.0,8.0,8.0,8.0,8.0,stop_early
calibrated,16,3,-1.8384305416644402,-1.856145557182274,-1.8207155261466064,1.8384305416644402,1.8207155261466064,1.856145557182274,1.9327879998561193,1.931083453677111,1.9344925460351274,0.9999945213787598,0.9999904893130358,0.9999985534444837,0.005695296667947029,0.004555303714288966,0.0068352896216050925,1.9726149368582198,1.9707939493345026,1.974435924381937,0.0,0.0,0.0,0.22209760117194655,0.12390402462410474,0.3202911777197883,0.9706539721110993,0.9692636250914736,0.972044319130725,2.7586390645203186e-08,1.9567371281222315e-08,3.560541000918406e-08,0.1524701414700419,0.14440822528188535,0.16053205765819845,0.0004074074007140897,0.00029660117812611777,0.0005182136233020617,0.043916957372550636,0.03744799716894851,0.05038591757615276,0.043916957372550636,0.03744799716894851,0.05038591757615276,0.009592549666055513,0.009254359275219056,0.00993074005689197,16.0,16.0,16.0,16.0,16.0,16.0,stop_early
calibrated,32,3,-1.8847970791412167,-1.9052308739183677,-1.8643632843640658,1.8847970791412167,1.8643632843640658,1.9052308739183677,1.9728052023422677,1.966717124581308,1.9788932801032275,0.9999999994220117,0.9999999984380378,1.0000000004059857,0.004518563627367096,-4.2018776060533114e-05,0.009079146030794726,1.9923221924958192,1.9881498728639453,1.9964945121276931,0.0,0.0,0.0,0.1592032967032967,-0.13121029225521647,0.44961688566180985,0.9706539721110993,0.9692636250914736,0.972044319130725,1.2161329364805118e-14,2.351031868643124e-15,2.1971626860967113e-14,0.14949822440118513,0.13665280478902375,0.1623436440133465,0.0002500468693091763,9.95402132900617e-05,0.00040055352532829096,0.059096580800011754,0.04783499945184905,0.07035816214817446,0.059096580800011754,0.04783499945184905,0.07035816214817446,0.002501075155384285,0.002114267773017413,0.002887882537751157,32.0,32.0,32.0,32.0,32.0,32.0,stop_early
calibrated,64,3,-1.9187233682968323,-1.94244087214596,-1.8950058644477046,1.9187233682968323,1.8950058644477046,1.94244087214596,1.9919361618427442,1.9753597650221433,2.008512558663345,1.0,0.9999999999999999,1.0,0.003603286910269047,8.781490364742801e-05,0.007118758916890666,1.9923221924958192,1.9881498728639453,1.9964945121276931,0.0,0.0,0.0,0.1592032967032967,-0.13121029225521647,0.44961688566180985,0.9706539721110993,0.9692636250914736,0.972044319130725,7.62902118164586e-27,-5.495121222415941e-27,2.075316358570766e-26,0.15762189866553292,0.13849342088196762,0.17675037644909822,0.00017169313480599186,8.185571332836191e-05,0.0002615305562836218,0.07563802827605692,0.05516631292858183,0.09610974362353202,0.07563802827605692,0.05516631292858183,0.09610974362353202,0.0005978424843898789,0.0002689588044158532,0.0009267261643639047,64.0,64.0,64.0,64.0,64.0,64.0,stop_early
calibrated,128,3,-1.9449236399866532,-1.9718888102007033,-1.917958469772603,1.9449236399866532,1.917958469772603,1.9718888102007033,1.9986001276656669,1.96525976123137,2.0319404940999637,1.0,1.0,1.0,0.0031087900146600234,0.000919520616633199,0.005298059412686847,1.9923221924958192,1.9881498728639453,1.9964945121276931,0.0,0.0,0.0,0.1592032967032967,-0.13121029225521647,0.44961688566180985,0.9706539721110993,0.9692636250914736,0.972044319130725,3.8966991476726756e-51,-3.6931371705283406e-51,1.148653546587369e-50,0.17718696873479553,0.15303683933568038,0.20133709813391068,0.00012645865701284948,9.770394521960865e-05,0.00015521336880609031,0.09226515842124823,0.05381210668267554,0.13071821015982094,0.09226515842124823,0.05381210668267554,0.13071821015982094,0.00010412446598316698,-0.00016431025071268496,0.0003725591826790189,128.0,128.0,128.0,128.0,128.0,128.0,stop_early
oracle,1,3,-0.6609581456202621,-0.687118241264598,-0.6347980499759263,0.6609581456202621,0.6347980499759263,0.687118241264598,0.6609581456202621,0.6347980499759263,0.687118241264598,0.58984375,0.5768501929574688,0.6028373070425312,0.04586908838749685,0.023479069815573565,0.06825910695942014,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,1.0,1.0,1.0,1.0,1.0,1.0,0.26513671875,0.25309433960519967,0.27717909789480033,0.2353084992566591,0.21668044424771452,0.25393655426560363,0.2647201952208405,0.2530601604973909,0.2763802299442901,0.0,0.0,0.0,0.0,0.0,0.0,-6.291263806209221e-16,-7.741955225052759e-16,-4.840572387365683e-16,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
oracle,2,3,-1.339955466758768,-1.3552438958192927,-1.3246670376982435,1.339955466758768,1.3246670376982435,1.3552438958192927,1.339955466758768,1.3246670376982435,1.3552438958192927,0.8316006660461426,0.8209182837287164,0.8422830483635687,0.04637255985007364,0.007568725504632702,0.08517639419551457,1.6660296243530197,1.6642701490677305,1.667789099638309,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0724937915802002,0.06697671576539267,0.07801086739500772,0.21512013132569616,0.20317997843907087,0.22706028421232144,0.06565063111356878,0.06036295309216879,0.07093830913496878,0.0,0.0,0.0,0.0,0.0,0.0,0.6789973211385059,0.6676373504991732,0.6903572917778386,2.0,2.0,2.0,2.0,2.0,2.0,stop_early
